Date,COST,DIS,KO,PEP,PG,PM,UL,WMT
2012-11-01,74.30879974365234,44.57020568847656,27.257911682128906,52.02075958251953,51.6512565612793,54.00932312011719,26.588611602783203,58.72190475463867
2012-11-02,73.53610229492188,44.64183807373047,27.075349807739258,51.72856521606445,51.60649108886719,53.602359771728516,26.524633407592773,58.178253173828125
2012-11-05,74.76782989501953,45.053707122802734,26.8490047454834,51.691123962402344,51.218650817871094,53.516029357910156,26.51040267944336,58.474063873291016
2012-11-06,75.57876586914062,45.18799591064453,27.32361602783203,51.95332717895508,51.41255569458008,53.8859977722168,26.752117156982422,58.96973419189453
2012-11-07,74.43885040283203,44.83881378173828,26.812490463256836,51.68363571166992,50.76364517211914,53.24471664428711,26.527002334594727,58.450096130371094
2012-11-08,72.48033142089844,44.803001403808594,26.549619674682617,51.53379821777344,49.905921936035156,52.75143814086914,26.347768783569336,57.94640350341797
2012-11-09,73.03117370605469,42.13488006591797,26.49850845336914,51.57875442504883,49.980506896972656,52.671260833740234,26.3190860748291,57.810489654541016
2012-11-12,73.42898559570312,42.48406219482422,26.345169067382812,51.39896774291992,50.032737731933594,52.39996337890625,26.39794921875,57.94640350341797
2012-11-13,73.2071304321289,42.9406852722168,26.40358543395996,51.3764762878418,49.861175537109375,52.05464553833008,26.605865478515625,57.410770416259766
2012-11-14,72.48207092285156,42.23336410522461,26.294057846069336,51.0693359375,49.62248992919922,50.802921295166016,26.426633834838867,57.01102066040039
2012-11-15,73.42578125,42.50196075439453,26.60074806213379,51.08432388305664,49.46586227416992,51.77717208862305,26.225894927978516,54.94036102294922
2012-11-16,73.41812896728516,42.45719528198242,26.695655822753906,51.17420959472656,49.83878707885742,52.36912155151367,26.175697326660156,54.38871383666992
2012-11-19,74.09331512451172,42.89591598510742,27.192197799682617,51.526309967041016,50.65924835205078,53.55918884277344,26.641719818115234,55.18019104003906
2012-11-20,74.51528930664062,43.37044906616211,27.199495315551758,51.623714447021484,50.94268035888672,54.32376480102539,26.799449920654297,55.164207458496094
2012-11-21,74.22371673583984,43.585330963134766,27.30171775817871,51.923362731933594,51.06947708129883,54.70610046386719,26.749263763427734,55.076271057128906
2012-11-23,75.12907409667969,44.10463333129883,27.696020126342773,52.58260726928711,51.90483474731445,55.7481575012207,27.258281707763672,56.12357711791992
2012-11-26,73.85546875,43.89870071411133,27.279813766479492,52.440269470214844,51.822792053222656,55.41520309448242,27.337158203125,55.891746520996094
2012-11-27,74.04727172851562,43.513702392578125,27.32361602783203,52.52266311645508,51.45731735229492,54.95891189575195,27.34432601928711,55.56393814086914
2012-11-28,78.70443725585938,44.050907135009766,27.614028930664062,52.702476501464844,51.79297637939453,55.43986892700195,27.57375144958496,56.41139602661133
2012-11-29,78.16740417480469,44.5164909362793,27.91545867919922,52.67250442504883,51.83770751953125,55.69883728027344,27.810333251953125,56.62725830078125
2012-11-30,79.73261260986328,44.462772369384766,27.878694534301758,52.59758377075195,52.0838623046875,55.42135238647461,27.494888305664062,57.578651428222656
2012-12-03,80.24663543701172,44.1314811706543,27.481687545776367,52.3428840637207,51.897377014160156,55.372039794921875,27.516386032104492,57.03498840332031
2012-12-04,80.10086822509766,44.14044189453125,27.31259536743164,52.335391998291016,51.69599914550781,54.8479118347168,27.702796936035156,57.658592224121094
2012-12-05,81.29009246826172,44.40009689331055,27.430219650268555,52.62754821777344,51.77060317993164,54.58893966674805,27.738645553588867,57.6007194519043
2012-12-06,80.89575958251953,44.60009765625,27.481687545776367,52.861576080322266,52.17333984375,54.675262451171875,27.53072738647461,57.55245590209961
2012-12-07,80.9697036743164,44.76374053955078,27.72429847717285,53.04277801513672,52.426944732666016,55.168540954589844,27.752979278564453,58.115211486816406
2012-12-10,81.29008483886719,44.81827163696289,27.6728458404541,53.00502395629883,52.3747444152832,54.92189025878906,27.69562339782715,58.0026741027832
2012-12-11,80.76433563232422,44.98191452026367,27.834583282470703,53.163570404052734,52.70293426513672,54.545753479003906,27.82468605041504,56.989723205566406
2012-12-12,80.2796401977539,45.12737274169922,27.6728458404541,53.02766799926758,52.77751922607422,54.74308776855469,28.01825714111328,55.42210006713867
2012-12-13,80.38642883300781,44.64555358886719,27.6434326171875,53.00502395629883,52.307621002197266,54.38544845581055,27.874862670898438,55.502506256103516
